Code,Variable Label,Survey Question,0-5 Years Survey,6-11 Years Survey,12-17 Years Survey,Survey Section,Sub Section,Question Section,Skip Patterns,Answer Key - Codes,Notes
SC_K2Q17,SC Limited Ability from Health Condition,"Is this child’’s limitation in abilities because of ANY medical, behavioral, or other health condition?",Q8.2,Q8.2,Q8.2,SECTION 1: Pre-Survey Screener ,,,"If No, Skip to question 10",,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_K2Q18,SC Limited Ability from Health Condition for 12 Months,Is this a condition that has lasted or is expected to last 12 months or longer?,Q8.3,Q8.3,Q8.3,SECTION 1: Pre-Survey Screener ,,,,,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_K2Q19,SC Special Therapy,"Does this child need or get special therapy, such as physical, occupational, or speech therapy?",Q9.1,Q9.1,Q9.1,SECTION 1: Pre-Survey Screener ,,,"If No, Skip to question 11",,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_K2Q20,SC Special Therapy for Health Condition,"Is this child’’s need for special therapy because of ANY medical, behavioral, or other health condition?",Q9.2,Q9.2,Q9.2,SECTION 1: Pre-Survey Screener ,,,"If No, Skip to question 11",,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_K2Q21,SC Special Therapy for Health Condition for 12 Months,Is this a condition that has lasted or is expected to last 12 months or longer?,Q9.3,Q9.3,Q9.3,SECTION 1: Pre-Survey Screener ,,,,,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_K2Q22,SC Needs Treatment for Emotion Develop Behave,"Does this child have any kind of emotional, developmental, or behavioral problem for which he or she needs treatment or counseling?",Q10.1,Q10.1,Q10.1,SECTION 1: Pre-Survey Screener ,,,"If No, Skip to Question A1",,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_K2Q23,SC Treatment for Chronic Emotion Develop Behave,"Has his or her emotional, developmental, or behavioral problem lasted or is it expected to last 12 months or longer?",Q10.2,Q10.2,Q10.2,SECTION 1: Pre-Survey Screener ,,,,,
K2Q01,General Health,"In general, how would you describe this child’s health? (K2Q01)",A1,A1,A1,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q01_D,Teeth Description,How would you describe the condition of this child’s teeth? (K2Q01_D),A2,A2,A2,SECTION 2: Survey Questions,A. This Child's Health,,,,
BREATHING,Difficulty Breathing Past 12 Months,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following? Breathing or other respiratoryproblems (such as wheezing orshortness of breath)",A3a,A3a,A3a,SECTION 2: Survey Questions,A. This Child's Health,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following?",,,
SWALLOWING,Difficulty Swallowing Past 12 Months,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following? Eating or swallowing because of a health condition",A3b,A3b,A3b,SECTION 2: Survey Questions,A. This Child's Health,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following?",,,
STOMACH,Difficulty Stomach Past 12 Months,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following? Digesting food, including stomach/intestinal problems, constipation, or diarrhea",A3c,A3c,A3c,SECTION 2: Survey Questions,A. This Child's Health,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following?",,,
PHYSICALPAIN,Difficulty Physical Pain Past 12 Months,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following? Repeated or chronic physical pain, including headaches or other back or body pain",A3d,A3d,A3d,SECTION 2: Survey Questions,A. This Child's Health,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following?",,,
HANDS,Difficulty Hands Past 12 Months,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following? Using their hands",A3e,N/A,N/A,SECTION 2: Survey Questions,A. This Child's Health,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following?",,,
COORDINATION,Difficulty Coordination Past 12 Months,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following? Coordination or moving around",A3f,N/A,N/A,SECTION 2: Survey Questions,A. This Child's Health,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following?",,,
TOOTHACHES,Difficulty Toothaches Past 12 Months,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following? Toothaches",A3g,A3e,A3e,SECTION 2: Survey Questions,A. This Child's Health,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following?",,,
GUMBLEED,Difficulty Bleeding Gums Past 12 Months,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following? Bleeding gums",A3h,A3f,A3f,SECTION 2: Survey Questions,A. This Child's Health,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following?",,,
CAVITIES,Difficulty Cavities Past 12 Months,"	DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following? Decayed teeth or cavities",A3i,A3g,A3g,SECTION 2: Survey Questions,A. This Child's Health,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following?",,,
MEMORYCOND,"Serious Difficulty Concentrating, Remembering, or Making Decisions","	Does this child have any of the following? Serious difficulty concentrating, remembering, or making decisions because of a physical, mental, or emotional condition",N/A,A4a,A4a,SECTION 2: Survey Questions,A. This Child's Health,Does this child have any of the following?,,,
WALKSTAIRS,Serious Difficulty Walking or Climbing Stairs,Does this child have any of the following? Serious difficulty walking or climbing stairs,N/A,A4b,A4b,SECTION 2: Survey Questions,A. This Child's Health,Does this child have any of the following?,,,
DRESSING,Difficulty Dressing or Bathing,Does this child have any of the following? Difficulty dressing or bathing,N/A,A4c,A4c,SECTION 2: Survey Questions,A. This Child's Health,Does this child have any of the following?,,,
ERRANDALONE,Difficulty Doing Errands Alone,"Does this child have any of the following? Difficulty doing errands alone such as visiting a doctor's office or shopping, because of a physical, mental, or emotional condition",N/A,N/A,A4d,SECTION 2: Survey Questions,A. This Child's Health,Does this child have any of the following?,,,
K2Q43B,Deafness,Does this child have any of the following? Deafness or problems with hearing,A4a,A4d,A4e,SECTION 2: Survey Questions,A. This Child's Health,Does this child have any of the following?,,,
BLINDNESS,Blindness,"Does this child have any of the following? Blindness or problems with seeing, even when wearing glasses",A4b,A4e,A4f,SECTION 2: Survey Questions,A. This Child's Health,Does this child have any of the following?,,,
ALLERGIES,Allergies,"Has a doctor or other health care provider EVER told you that this child has… Allergies (including food, drug, insect, or other)?",A5,A5,A5,SECTION 2: Survey Questions,A. This Child's Health,Has a doctor or other health care provider EVER told you that this child has:,,,"If YES to any of the items from A5 (0-17 yrs) to this point, two follow up questions are asked:"
ALLERGIES_CURR,Allergies Currently,Does this child CURRENTLY have the condition? (variable name differs based on condition),,,,SECTION 2: Survey Questions,A. This Child's Health,Does this child CURRENTLY have the condition? (variable name differs based on condition),,,
ALLERGIES_DESC,Allergies Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
ARTHRITIS,Arthritis,Has a doctor or other health care provider EVER told you that this child has… Arthritis?,A6,A6,A6,SECTION 2: Survey Questions,A. This Child's Health,Has a doctor or other health care provider EVER told you that this child has:,,,"If YES to any of the items from A5 (0-17 yrs) to this point, two follow up questions are asked:"
ARTHRITIS_CURR,Arthritis Currently,Does this child CURRENTLY have the condition? (variable name differs based on condition),,,,SECTION 2: Survey Questions,A. This Child's Health,Does this child CURRENTLY have the condition? (variable name differs based on condition),,,
ARTHRITIS_DESC,Arthritis Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q40A,Asthma,Has a doctor or other health care provider EVER told you that this child has… Asthma?,A7,A7,A7,SECTION 2: Survey Questions,A. This Child's Health,Has a doctor or other health care provider EVER told you that this child has:,,,"If YES to any of the items from A5 (0-17 yrs) to this point, two follow up questions are asked:"
K2Q40B,Asthma Currently,Does this child CURRENTLY have the condition? (variable name differs based on condition),,,,SECTION 2: Survey Questions,A. This Child's Health,Does this child CURRENTLY have the condition? (variable name differs based on condition),,,
K2Q40C,Asthma Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q61A,Cerebral Palsy,Has a doctor or other health care provider EVER told you that this child has… Cerebral Palsy?,A8,A8,A8,SECTION 2: Survey Questions,A. This Child's Health,Has a doctor or other health care provider EVER told you that this child has:,,,"If YES to any of the items from A5 (0-17 yrs) to this point, two follow up questions are asked:"
K2Q61B,Cerebral Palsy Currently,Does this child CURRENTLY have the condition? (variable name differs based on condition),,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
CERPALS_DESC,Cerebral Palsy Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q41A,Diabetes,Has a doctor or other health care provider EVER told you that this child has… Diabetes?,A9,A9,A9,SECTION 2: Survey Questions,A. This Child's Health,Has a doctor or other health care provider EVER told you that this child has:,,,"If YES to any of the items from A5 (0-17 yrs) to this point, two follow up questions are asked:"
K2Q41B,Diabetes Currently,Does this child CURRENTLY have the condition? (variable name differs based on condition),,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q41C,Diabetes Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q42A,Epilepsy,Has a doctor or other health care provider EVER told you that this child has… Epilepsy or Seizure Disorder?,A10,A10,A10,SECTION 2: Survey Questions,A. This Child's Health,Has a doctor or other health care provider EVER told you that this child has:,,,"If YES to any of the items from A5 (0-17 yrs) to this point, two follow up questions are asked:"
K2Q42B,Epilepsy Currently,Does this child CURRENTLY have the condition? (variable name differs based on condition),,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q42C,Epilepsy Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
HEART,Heart Condition,Has a doctor or other health care provider EVER told you that this child has… Heart Condition?,A11,A11,A11,SECTION 2: Survey Questions,A. This Child's Health,Has a doctor or other health care provider EVER told you that this child has:,,,"If YES to any of the items from A5 (0-17 yrs) to this point, two follow up questions are asked:"
,,"If yes, was this child born with the condition?",A11,A11,A11,SECTION 2: Survey Questions,A. This Child's Health,,,,
HEART_CURR,Heart Condition Currently,Does this child CURRENTLY have the condition? (variable name differs based on condition),,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
HEART_DESC,Heart Condition Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
HEADACHE,Headaches,"Has a doctor or other health care provider EVER told you that this child has… Frequent or severe headaches, including migraine?",A12,A12,A12,SECTION 2: Survey Questions,A. This Child's Health,Has a doctor or other health care provider EVER told you that this child has:,,,"If YES to any of the items from A5 (0-17 yrs) to this point, two follow up questions are asked:"
HEADACHE_CURR,Headaches Currently,Does this child CURRENTLY have the condition? (variable name differs based on condition),,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
HEADACHE_DESC,Headaches Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q38A,Tourette Syndrome,Has a doctor or other health care provider EVER told you that this child has… Tourette Syndrome?,A13,A13,A13,SECTION 2: Survey Questions,A. This Child's Health,Has a doctor or other health care provider EVER told you that this child has:,,,"If YES to any of the items from A5 (0-17 yrs) to this point, two follow up questions are asked:"
K2Q38B,Tourette Syndrome Currently,Does this child CURRENTLY have the condition? (variable name differs based on condition),,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q38C,Tourette Syndrome Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q33A,Anxiety,Has a doctor or other health care provider EVER told you that this child has… Anxiety Problems?,A14,A14,A14,SECTION 2: Survey Questions,A. This Child's Health,Has a doctor or other health care provider EVER told you that this child has:,,,"If YES to any of the items from A5 (0-17 yrs) to this point, two follow up questions are asked:"
K2Q33B,Anxiety Currently,Does this child CURRENTLY have the condition? (variable name differs based on condition),,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q33C,Anxiety Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q32A,Depression,Has a doctor or other health care provider EVER told you that this child has… Depression?,A15,A15,A15,SECTION 2: Survey Questions,A. This Child's Health,Has a doctor or other health care provider EVER told you that this child has:,,,"If YES to any of the items from A5 (0-17 yrs) to this point, two follow up questions are asked:"
K2Q32B,Depression Currently,Does this child CURRENTLY have the condition? (variable name differs based on condition),,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q32C,Depression Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
DOWNSYN,Down Syndrome,Has a doctor or other health care provider EVER told you that this child has… Down Syndrome?,A16,A16,A16,SECTION 2: Survey Questions,A. This Child's Health,,,,
BLOOD,Blood Disorder,"Has a doctor or other health care provider EVER told you that this child has… Blood Disorders (such as Sickle Cell Disease, Thalassemia, or Hemophilia)?",A17,A17,A17,SECTION 2: Survey Questions,A. This Child's Health,,,,
BLOOD_SCREEN,Blood Disorder Newborn Screening,Were any of these blood disorders identified through a blood test done shortly after birth? These tests are sometimes called newborn screening.,,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
,SICKLECELL,Was this child diagnosed with: Sickle Cell Disease?,,,,SECTION 2: Survey Questions,A. This Child's Health,"Was this child diagnosed with Sickle Cell Disease, Thalassemia, Hemophilia, Other Blood Disorders? (SICKLECELL, THALASSEMIA, HEMOPHILIA, BLOOD_OTHER)",,,
BLOOD_DESC,Blood Disorder Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
,THALASSEMIA,Was this child diagnosed with: Thalassemia?,,,,SECTION 2: Survey Questions,A. This Child's Health,"Was this child diagnosed with Sickle Cell Disease, Thalassemia, Hemophilia, Other Blood Disorders? (SICKLECELL, THALASSEMIA, HEMOPHILIA, BLOOD_OTHER)",,,
,,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
,HEMOPHILIA,Was this child diagnosed with: Hemophilia?,,,,SECTION 2: Survey Questions,A. This Child's Health,"Was this child diagnosed with Sickle Cell Disease, Thalassemia, Hemophilia, Other Blood Disorders? (SICKLECELL, THALASSEMIA, HEMOPHILIA, BLOOD_OTHER)",,,
,,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
,BLOOD_OTHER,Was this child diagnosed with: Other Blood Disorders?,,,,SECTION 2: Survey Questions,A. This Child's Health,"Was this child diagnosed with Sickle Cell Disease, Thalassemia, Hemophilia, Other Blood Disorders? (SICKLECELL, THALASSEMIA, HEMOPHILIA, BLOOD_OTHER)",,,
,,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
CYSTFIB,Cystic Fibrosis,Has a doctor or other health care provider EVER told you that this child has… Cystic Fibrosis?,A18,A18,A18,SECTION 2: Survey Questions,A. This Child's Health,,,,
,,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
,CYSTFIB_SCREEN,Was this condition identified through a blood test done shortly after birth? These tests are sometimes called newborn screening.,,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
GENETIC,Genetic Condition,Has a doctor or other health care provider EVER told you that this child has… Other genetic or inherited condition?,A19,A19,A19,SECTION 2: Survey Questions,A. This Child's Health,,,,
,,"_ _ _ if yes, specify:",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
GENETIC_SCREEN,Genetic Condition Newborn Screening,"If YES to above question under A17 (0-17 yrs), a follow up question is asked:",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
GENETIC_DESC,Genetic Condition Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q34A,Behavior Problems,"Has a doctor, other health care provider, or educator EVER told you that this child has… Behavioral or Conduct Problems? Examples of educators are teachers and school nurses.",A20,A20,A20,SECTION 2: Survey Questions,A. This Child's Health,"Has a doctor, other health care provider, or educator EVER told you that this child has:",,,
K2Q34B,Behavior Problems Currently,"If yes, does this child CURRENTLY have the condition? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,"If yes, does this child CURRENTLY have the condition? (variable name differs based on condition)",,,
K2Q34C,Behavior Problems Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,
K2Q36A,Developmental Delay,"Has a doctor, other health care provider, or educator EVER told you that this child has… Developmental Delay?",A21,A21,A21,SECTION 2: Survey Questions,A. This Child's Health,"Has a doctor, other health care provider, or educator EVER told you that this child has:",,,
K2Q36B,Developmental Delay Currently,"If yes, does this child CURRENTLY have the condition? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,"If yes, does this child CURRENTLY have the condition? (variable name differs based on condition)",,,
K2Q36C,Developmental Delay Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q60A,Intellectual Disability,"Has a doctor, other health care provider EVER told you that this child has… Intellectual Disability (formerly known as Mental Retardation)?",A22,A22,A22,SECTION 2: Survey Questions,A. This Child's Health,"Has a doctor, other health care provider, or educator EVER told you that this child has:",,,
K2Q60B,Intellectual Disability Currently,"If yes, does this child CURRENTLY have the condition? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,"If yes, does this child CURRENTLY have the condition? (variable name differs based on condition)",,,
K2Q60C,Intellectual Disability Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q37A,Speech Disorder,"Has a doctor, other health care provider, or educator EVER told you that this child has… Speech or other language disorder?",A23,A23,A23,SECTION 2: Survey Questions,A. This Child's Health,"Has a doctor, other health care provider, or educator EVER told you that this child has:",,,
K2Q37B,Speech Disorder Currently,"If yes, does this child CURRENTLY have the condition? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,"If yes, does this child CURRENTLY have the condition? (variable name differs based on condition)",,,
K2Q37C,Speech Disorder Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q30A,Learning Disability,"Has a doctor, other health care provider, or educator EVER told you that this child has… Learning Disability?",A24,A24,A24,SECTION 2: Survey Questions,A. This Child's Health,"Has a doctor, other health care provider, or educator EVER told you that this child has:",,,
K2Q30B,Learning Disability Currently,"If yes, does this child CURRENTLY have the condition? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,"If yes, does this child CURRENTLY have the condition? (variable name differs based on condition)",,,
K2Q30C,Learning Disability Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",,,,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q35A,Autism ASD,Has a doctor or other health care provider EVER told you that this child has… Autism or Autism Spectrum Disorder (ASD)? Include diagnoses of Asperger’’s Disorder or Pervasive Developmental Disorder (PDD).,A25,A25,A25,SECTION 2: Survey Questions,A. This Child's Health,Has a doctor or other health care provider EVER told you that this child has Autism or Autism Spectrum Disorder (ASD)? Include diagnoses of Asperger’s Disorder or Pervasive Developmental Disorder (PDD).,"If No, Skip to question A30",,
K2Q35B,Autism ASD Currently,"If yes, does this child CURRENTLY have the condition? (variable name differs based on condition)",A25,A25,A25,SECTION 2: Survey Questions,A. This Child's Health,"If yes, does this child CURRENTLY have the condition? (variable name differs based on condition)",,,
K2Q35C,Autism ASD Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",A25,A25,A25,SECTION 2: Survey Questions,A. This Child's Health,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)","1 Mild, 2 Moderate, 3 Severe",,
K2Q35A_1_YEARS,Autism ASD - First Told Age in Years,"How old was this child when a doctor or other health care provider FIRST told you that they had Autism, ASD, Asperger’’s Disorder or PDD?",A26,A26,A26,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q35D,Autism ASD - First Told Doctor Type,"What type of doctor or other health care provider was the FIRST to tell you that this child had Autism, ASD, Asperger’s Disorder or PDD?",A27,A27,A27,SECTION 2: Survey Questions,A. This Child's Health,,,,
AUTISMMED,Autism ASD - Medication Currently,"Is this child CURRENTLY taking medication for Autism, ASD, Asperger's Disorder or PDD?",A28,A28,A28,SECTION 2: Survey Questions,A. This Child's Health,,,,
AUTISMTREAT,Autism ASD - Behavioral Treatment,"At any time DURING THE PAST 12 MONTHS, did this child receive behavioral treatment for Autism, ASD, Asperger’’s Disorder or PDD, such as training or an intervention that you or this child received to help with their behavior?",A29,A29,A29,SECTION 2: Survey Questions,A. This Child's Health,,,,
K2Q31A,ADD/ADHD,"Has a doctor or other health care provider EVER told you that this child has… Attention Deficit Disorder or Attention-Deficit/Hyperactivity Disorder, that is, ADD or ADHD?",A30,A30,A30,SECTION 2: Survey Questions,A. This Child's Health,"Has a doctor or other health care provider EVER told you that this child has… Attention Deficit Disorder or Attention-Deficit/Hyperactivity Disorder, that is, ADD or ADHD?","If No, Skip to question A33",,
K2Q31B,ADD/ADHD Currently,"If yes, does this child CURRENTLY have the condition?",A30,A30,A30,SECTION 2: Survey Questions,A. This Child's Health,"If yes, does this child CURRENTLY have the condition? (variable name differs based on condition)",,,
K2Q31C,ADD/ADHD Severity Description,"If YES, is it Mild, Moderate, or Severe? (variable name differs based on condition)",A30,A30,A30,SECTION 2: Survey Questions,A. This Child's Health,,,"If yes, is it: 1 Mild, 2 Moderate, 3 Severe",
K2Q31D,ADD/ADHD - Medication Currently,Is this child CURRENTLY taking medication for ADD or ADHD?,A31,A31,A31,SECTION 2: Survey Questions,A. This Child's Health,"If yes, does this child CURRENTLY have the condition? (variable name differs based on condition)",,"1 Yes, 2 No",
ADDTREAT,ADD/ADHD - Behavioral Treatment,"At any time DURING THE PAST 12 MONTHS, did this child receive behavioral treatment for ADD or ADHD, such as training or an intervention that you or this child received to help with their behavior?",A32,A32,A32,SECTION 2: Survey Questions,A. This Child's Health,,,,
CONCUSSION,,"Do you think this child has EVER had a concussion or brain injury? A concussion or brain injury is when a blow or jolt to the head causes problems such as headaches, dizziness, being dazed or confused, difficulty remembering or concentrating, vomiting, blurred vision, changes in mood or behavior, or being knocked out.",A33,A33,A33,SECTION 2: Survey Questions,A. This Child's Health,,,,
SEEKCARE,,"If yes, did you seek medical care from a doctor or other health care provider?",A33,A33,A33,SECTION 2: Survey Questions,A. This Child's Health,"Has a doctor, other health care provider, or educator EVER told you that this child has:",,,
CONFIRMINJURY,,"If yes, did a doctor or other health care provider tell you that your child had a concussion or brain injury?",A33,A33,A33,SECTION 2: Survey Questions,A. This Child's Health,,"If 1 This child does not have any health conditions, Skip to question 1B","1 This child does not have any health conditions, 2 Never, 3 Sometimes, 4 Usually, 5 Always",
HCABILITY,,"DURING THE PAST 12 MONTHS, how often have this child's health conditions or problems affected their ability to do things other children their age do?",A34,A34,A34,SECTION 2: Survey Questions,A. This Child's Health,,"If 1 This child does not have any health conditions, Skip to question 1B","1 This child does not have any health conditions, 2 Never, 3 Sometimes, 4 Usually, 5 Always",
HCEXTENT,,To what extent do this child's health conditions or problems affect his or her ability to do things?,A35,A35,A35,SECTION 2: Survey Questions,A. This Child's Health,,,"1 Very little, 2 Somewhat, 3 A great deal",
